"created","text","url","latitude","longitude","retweets","favorites","source.r","hashtag","z"
2018-02-18 23:58:46,"I want to see #BlackPanther in the Philippines because most Filipinos do not care about race issues in movie unlike<e2><80><a6> https://t.co/e7SAkEUTzp","https://twitter.com/Okupahan_Pinas/status/965375066371338241",NA,NA,1,1,"ANDROID","#blackpanther",1
2018-02-18 23:58:46,"#BlackPanther was amazing and maybe should have been called Black Panther and the MOST Badass Women on the Planet!","https://twitter.com/wickedm/status/965375066115596290",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:58:45,"The plan was to go to #BlackPanther today but got turnt way too hard at a concert so tomorrow it is!!!<ed><a0><bd><ed><b8><8d><ed><a0><bd><ed><b9><8c><ed><a0><bc><ed><bf><bd>
In the me<e2><80><a6> https://t.co/3ES8ml3HwE","https://twitter.com/La_Zairoise/status/965375065046114304",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:45,"Work in progress sketch of @michaelb4jordan as #Killmonger ! #BlackPanther was AMAZING! https://t.co/NEwEacQE3e","https://twitter.com/ArtsyQue/status/965375064014127104",NA,NA,1,16,"IPHONE","#blackpanther",1
2018-02-18 23:58:42,"@littlekatmom That's what a good parent would say. Did you see #BlackPanther awesome movie","https://twitter.com/kat3796/status/965375051351683073",NA,NA,0,2,"ANDROID","#blackpanther",1
2018-02-18 23:58:41,"In my life, I haven<e2><80><99>t watched a movie that had a <e2><80><9c>Super Hero who looks like me. And most importantly got a all kind<e2><80><a6> https://t.co/FR7XaX09SC","https://twitter.com/ShatahJR/status/965375047501271040",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:58:41,"#BlackPanther movie has been over-hyped. Not worth the time or money.   Special effect were good but nothing new. T<e2><80><a6> https://t.co/TGLLn7z5FL","https://twitter.com/kdp3va/status/965375047471960064",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:39,"'Black Panther' Slashes Box Office Records And Heads Toward A $218 Million 4-Day Opening #BlackPanther<e2><80><a6> https://t.co/EXD4isxEnM","https://twitter.com/GeeksOfColor/status/965375038349127680",NA,NA,207,628,"IPHONE","#blackpanther",1
2018-02-18 23:58:38,"Love Twitter's rehashing of #BlackPanther's woke moments!! I laughed at a couple - ""Does she even speak English?"" a<e2><80><a6> https://t.co/kQRVyc4jCD","https://twitter.com/rikayla/status/965375031730671617",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:58:34,"at the theater. EARLY. C'mon, #BlackPanther","https://twitter.com/shilohwalker/status/965375017742675968",NA,NA,0,1,"ANDROID","#blackpanther",1
2018-02-18 23:58:32,"I<e2><80><99>m seeing #blackpanther tomorrow by myself and idc.","https://twitter.com/JLukey_5/status/965375009291145217",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:31,"The latest THREESIXMIX! https://t.co/8o2zBb3FuY #projectmanagement #blackpanther","https://twitter.com/THREESIXMIX/status/965375006053163008",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:58:30,"#BlackPanther even better round 2.","https://twitter.com/QweenDrea/status/965375001552654336",NA,NA,0,0,"IPHONE","#blackpanther",1
